id,carat,cut,color,clarity,depth,table,x,y,z,price
11075,0.38,Ideal,I,VVS1,60.6,58,4.69,4.71,2.85,744
5688,2,Fair,H,I1,69.8,54,7.6,7.56,5.29,5914
1363,0.32,Ideal,H,VVS1,61.9,56,4.41,4.38,2.72,936
22425,0.37,Good,H,VS2,63.7,55,4.54,4.56,2.9,584
4109,1.25,Premium,H,VS2,61.9,58,6.9,6.84,4.25,5902
26167,0.42,Very Good,G,SI1,63.2,57,4.79,4.77,3.02,945
6547,0.46,Very Good,E,SI1,61.4,62,4.92,4.95,3.03,1042
22261,1.62,Premium,E,SI2,61.8,59,7.55,7.52,4.66,9526
12863,1.01,Premium,G,VVS2,61.3,61,6.47,6.32,3.92,6470
2720,1.38,Very Good,F,IF,58.2,60,7.32,7.39,4.28,17598
10526,0.9,Premium,H,VS2,60.4,59,6.27,6.24,3.78,4246
2753,0.7,Very Good,E,SI1,61.5,56,5.74,5.8,3.55,2239
12988,1.91,Premium,I,SI1,60.9,53,8.11,8.07,4.93,13367
10967,0.41,Premium,E,VS2,62.1,58,4.78,4.75,2.96,999
21400,0.95,Premium,J,VVS2,62.6,59,6.23,6.26,3.91,3669
18786,0.39,Premium,G,VVS1,60.4,59,4.72,4.75,2.86,1095
22229,0.33,Ideal,D,VS2,,55,4.5,4.52,2.72,667
1955,0.41,Premium,I,VVS2,59.9,58,4.81,4.87,2.9,827
21568,0.32,Ideal,F,VVS2,62.1,55,4.37,4.39,2.72,800
20941,0.3,Ideal,H,VS2,62.4,55,4.28,4.31,2.68,491
23179,0.56,Ideal,D,VS2,60.6,56,5.37,5.33,3.24,2066
3413,2.01,Ideal,H,SI1,62.8,54,8.03,8.08,5.05,18186
5892,1.12,Premium,G,I1,60.3,60,6.75,6.69,4.05,3017
5103,1,Very Good,F,VS1,61.6,56,6.41,6.44,3.96,7504
10826,0.42,Premium,E,SI2,58.8,60,4.9,4.86,2.87,838
8954,1.14,Premium,D,SI2,62.4,58,6.67,6.7,4.17,4513
6008,1.06,Ideal,E,VS1,62.1,57,6.49,6.52,4.04,8413
25405,0.8,Premium,E,SI1,62.9,60,5.89,5.87,3.7,3091
17223,1.5,Ideal,F,SI1,60.9,56,7.43,7.36,4.5,8770
13210,0.32,Very Good,D,SI1,58.9,60,4.47,4.49,2.64,589
21892,1.83,Fair,J,I1,70,58,7.34,7.28,5.12,5083
11443,1.5,Very Good,H,VVS2,62.9,59,7.26,7.31,4.58,11748
7471,0.3,Ideal,G,IF,62,54.4,4.3,4.32,2.67,830
18564,0.7,Ideal,I,VS2,62.1,54.6,5.68,5.72,3.54,2240
22428,0.91,Very Good,I,VS2,,58,6.13,6.19,3.85,3579
75,0.57,Very Good,G,SI2,59.4,58,5.39,5.42,3.21,1214
1824,0.31,Ideal,H,VS1,62,54,4.39,4.35,2.71,698
4834,0.36,Very Good,F,SI1,60.3,58,4.6,4.65,2.79,600
11566,0.5,Ideal,E,VS2,61.4,57,5.08,5.11,3.13,1624
1549,0.4,Premium,G,VVS1,60.9,57,4.8,4.76,2.91,1200
6959,1.7,Premium,E,VS2,62.9,58,7.57,7.54,4.75,17323
21175,0.74,Premium,E,VS1,60.9,62,5.83,5.8,3.54,2999
25395,0.7,Ideal,G,VVS2,59.9,58,5.78,5.8,3.47,3234
18002,0.31,Ideal,F,VS1,61.5,54,4.36,4.39,2.69,642
20992,2.01,Premium,H,SI2,62.3,60,7.97,7.95,4.96,14558
5946,1.03,Ideal,F,SI1,61.3,57,6.47,6.53,3.98,6044
11905,0.39,Premium,G,SI1,61.7,57,4.77,4.7,2.92,854
7326,1.04,Ideal,D,VVS2,60.9,57,6.54,6.6,4,11511
4493,0.91,Very Good,G,SI1,62.2,57,6.12,6.17,3.82,3884
3893,0.9,Good,F,SI1,63.6,59,6.12,6.07,3.88,3881
19146,1.02,Fair,G,VVS2,64.6,59,6.31,6.29,4.07,6736
4728,0.33,Ideal,G,SI2,61.2,56,4.48,4.51,2.75,463
12621,0.3,Ideal,F,VS2,62,55,4.33,4.31,2.68,776
3206,1.5,Fair,J,SI2,65.5,60,7.07,7.03,4.62,5268
6678,2.09,Premium,H,SI2,62.1,58,8.22,8.17,5.09,17156
4453,1,Very Good,E,VS2,61.9,57,6.35,6.38,3.94,6732
18420,0.32,Ideal,E,VS1,61.8,55,4.43,4.4,2.73,972
3576,0.4,Ideal,G,IF,62.3,55,4.74,4.76,2.96,1229
20924,0.31,Ideal,E,SI1,61.8,53.9,4.32,4.35,2.68,542
14677,0.61,Ideal,D,SI2,59.9,57,5.55,5.53,3.32,1690
5636,1.02,Very Good,H,VS2,62.4,57,6.43,6.35,3.99,5383
11268,1.23,Ideal,J,VS2,61.2,57,6.93,6.88,4.23,6015
7372,1.25,Ideal,J,SI1,62.4,57,6.86,6.92,4.3,5252
14381,0.5,Very Good,F,VVS2,61.2,57,5.1,5.13,3.13,1891
4049,0.86,Premium,E,SI1,61.9,61,6.07,5.99,3.73,3323
16023,2.19,Ideal,H,SI2,62,56,8.36,8.48,5.22,17433
4070,0.31,Very Good,I,VVS2,62.2,57,4.34,4.37,2.71,544
5502,0.73,Ideal,H,SI1,62.8,57,5.77,5.72,3.61,2330
12918,0.71,Premium,J,SI2,61.8,54,5.74,5.7,3.53,1305
714,0.53,Ideal,D,VVS1,62,57,5.16,5.2,3.21,2732
7907,1.02,Premium,G,VS2,62.6,59,6.43,6.39,4.01,6087
13926,1.51,Ideal,E,SI2,62.7,55,7.27,7.18,4.53,7272
6411,0.55,Premium,G,VS2,59.6,59,5.32,5.36,3.18,1448
21578,0.35,Premium,F,VS2,61.4,59,4.56,4.53,2.79,906
17860,1.75,Very Good,G,VS1,59.6,60,7.76,7.9,4.67,17036
10702,1.07,Ideal,J,SI1,62,56,6.53,6.57,4.06,4235
2497,2.02,Premium,H,SI1,62.1,61,8.06,7.99,4.98,17265
10603,1.52,Premium,D,SI2,61.4,54,7.51,7.43,4.59,10308
26932,1.07,Ideal,G,VS2,61.9,55,6.55,6.57,4.06,7275
3193,0.32,Ideal,I,VS2,61.5,56,4.41,4.4,2.71,576
24240,1.22,Very Good,G,SI2,63.2,58,6.82,6.76,4.29,6409
10532,0.72,Ideal,H,VVS2,61.6,56,5.75,5.77,3.55,3334
14396,0.62,Very Good,D,VS2,59.2,59.1,5.55,5.6,3.3,2311
17896,0.35,Ideal,I,VVS2,62.3,57,4.53,4.49,2.81,788
7450,0.51,Very Good,H,VS1,62.3,56,5.1,5.13,3.18,1628
20463,0.41,Very Good,G,VVS2,63.3,59,4.69,4.71,2.97,1051
13802,0.31,Ideal,F,IF,60.7,56,4.42,4.45,2.69,901
13266,1.54,Very Good,I,VS2,62,58,7.38,7.43,4.59,8537
21136,0.34,Ideal,D,SI1,62.3,57,4.48,4.44,2.78,803
11180,1.7,Very Good,J,VVS1,62.9,60,7.56,7.61,4.77,10808
14688,0.32,Very Good,E,IF,61.4,55,4.43,4.46,2.73,1018
1571,1.02,Ideal,E,SI2,62.7,57,6.35,6.44,4.01,4585
26905,1.24,Premium,D,VS2,59.3,58,7.03,7.09,4.19,9738
4160,0.42,Premium,D,SI1,61.5,58,4.83,4.8,2.96,970
15907,0.76,Ideal,H,VS2,62.7,57,5.82,5.86,3.66,2668
8350,0.73,Very Good,E,SI2,63.1,59,5.76,5.72,3.62,1975
21101,0.33,Ideal,D,VS2,61.1,56,4.5,4.54,2.76,822
24144,1.2,Premium,E,VS1,60.7,57,6.89,6.81,4.16,10053
25185,0.74,Ideal,I,VS2,61.5,57,5.81,5.86,3.59,2459
8383,2.01,Premium,F,SI2,62.4,58,8.08,8.05,5.03,14279
10085,0.31,Ideal,G,SI1,61.6,57,4.32,4.35,2.67,493
15808,0.7,Very Good,F,VVS1,59.3,62,5.74,5.77,3.41,3270
19622,0.31,Premium,G,VS1,59.9,59,4.44,4.41,2.65,617
11217,2.09,Ideal,I,SI1,61.8,56,8.15,8.22,5.06,17114
9451,0.41,Ideal,E,VVS2,61.9,56,4.78,4.75,2.95,1243
26508,1.24,Fair,F,SI2,64.9,60,6.7,6.63,4.32,4375
3010,1.06,Ideal,H,SI2,59.4,57,6.67,6.63,3.95,4452
14375,1.02,Very Good,H,SI2,63.4,54,6.37,6.43,4.06,4252
857,2.04,Ideal,I,SI2,62.8,57,8.11,8.07,5.08,10282
7211,0.3,Ideal,F,IF,62.1,57,4.27,4.3,2.66,886
16574,1.18,Good,D,SI2,61.7,63,6.67,6.72,4.13,5315
3955,0.3,Very Good,J,VS1,63.3,60,4.25,4.22,2.68,506
23820,0.46,Very Good,E,SI1,61.8,57,4.93,4.98,3.06,968
11185,2.05,Premium,I,VS1,60.6,60,8.21,8.18,4.97,17640
691,1.03,Ideal,F,VS1,60.7,56,6.6,6.54,3.99,7429
9021,2.1,Very Good,J,VS2,61.5,60.7,8.16,8.21,5.03,13340
12567,1,Premium,I,SI2,58.2,60,6.61,6.55,3.83,2795
23351,1.1,Very Good,F,I1,59.8,61,6.65,6.7,3.99,3678
17231,1.06,Premium,H,VS2,62,58,6.5,6.57,4.05,5783
2634,0.56,Fair,H,VS2,52.7,70,5.71,5.57,2.97,1293
26530,0.74,Ideal,G,SI2,61.7,56,5.8,5.87,3.6,2690
25371,0.7,Very Good,F,VS2,61.4,57,5.73,5.76,3.53,2400
15704,0.77,Premium,E,SI1,60.4,58,6,5.88,3.59,2975
14614,1.16,Ideal,H,SI2,60.9,59,6.72,6.78,4.11,5388
8555,0.34,Good,H,VS1,64,58,4.49,4.45,2.86,689
3085,1.21,Ideal,I,VS1,61.7,53,6.89,6.92,4.26,7111
26418,0.3,Ideal,G,VS1,61.1,56,4.36,4.35,2.66,673
383,0.38,Ideal,E,VVS2,62,57,4.64,4.69,2.89,1030
14210,0.35,Ideal,F,SI1,61.5,55.9,4.53,4.56,2.8,596
9013,0.87,Premium,F,I1,59.1,58,6.25,6.21,3.68,2170
11109,0.75,Premium,E,SI2,63,58,5.78,5.71,3.62,2372
9189,0.31,Ideal,G,VVS1,62.1,55,4.34,4.39,2.71,789
17088,0.4,Good,I,VVS1,63.5,57,4.65,4.68,2.96,842
23450,0.73,Good,F,VVS2,59.5,61,5.8,5.83,3.46,3616
20858,0.51,Premium,D,SI2,62,58,5.08,5.12,3.16,1264
14697,1.01,Ideal,I,SI2,61.9,55,6.45,6.38,3.97,3733
20632,1.2,Good,I,SI1,63.5,60.7,6.71,6.75,4.27,5280
26743,0.9,Very Good,G,SI1,61.6,59,6.13,6.19,3.8,3597
10214,0.32,Ideal,G,IF,61.2,56,4.4,4.43,2.7,918
24287,0.54,Ideal,G,VS1,61.4,57,5.23,5.2,3.2,1684
10905,0.4,Premium,J,VS1,,60,4.76,4.79,2.9,631
9167,1.02,Ideal,E,VS1,60.1,57,6.52,6.59,3.94,8096
14555,0.43,Ideal,G,IF,62.4,54,4.84,4.87,3.03,1318
3186,1.23,Ideal,J,SI1,62.2,57,6.89,6.81,4.26,5407
10456,0.55,Ideal,F,VS1,61.4,55,5.28,5.24,3.23,1901
25770,0.52,Fair,E,VVS2,57.2,64,5.27,5.36,3.04,2079
15536,0.78,Ideal,D,VS2,61.9,56,5.89,5.91,3.65,3811
15374,1.03,Ideal,D,SI1,61.2,55,6.51,6.57,4,5804
4780,1.51,Very Good,D,VS2,63.2,57,7.27,7.25,4.59,12311
10216,1.06,Premium,F,SI1,61.9,58,6.58,6.53,4.06,4862
4517,1,Premium,H,SI1,62.8,58,6.38,6.36,4,4816
22820,0.42,Ideal,E,SI2,62.4,55,4.77,4.81,2.99,700
3322,0.72,Good,H,VS2,61.8,61,5.68,5.75,3.53,2497
24796,0.34,Ideal,G,VVS2,61.9,57,4.44,4.48,2.76,775
17340,0.51,Premium,F,VVS2,60.5,59,5.17,5.15,3.12,2203
1484,1.02,Ideal,G,VS1,61.4,57,6.45,6.49,3.98,7055
8283,1.18,Premium,G,SI2,,60,6.88,6.81,4.14,4988
2875,0.73,Ideal,G,VS2,60.9,57,5.8,5.86,3.55,3307
26540,0.56,Ideal,F,VS1,61.9,55,5.36,5.32,3.3,2016
15937,1.01,Premium,E,SI2,61,56,6.42,6.36,3.9,4371
8261,1.01,Premium,E,SI1,62.8,58,6.38,6.33,3.99,5741
14246,1.01,Good,D,VS1,56.8,61,6.5,6.45,3.68,5050
18848,1.01,Premium,D,SI2,61,62,6.43,6.39,3.91,4939
12564,0.38,Ideal,H,SI1,61.2,56,4.63,4.68,2.85,650
1064,1.5,Very Good,H,VS2,60.9,59,7.37,7.43,4.51,10023
19605,0.53,Ideal,D,VS2,60.2,55,5.26,5.3,3.18,1610
17902,0.41,Ideal,F,VS1,61.3,57,4.79,4.77,2.93,1076
18141,1.24,Premium,I,SI1,62.4,59,6.89,6.87,4.29,4791
20879,1.15,Ideal,G,SI1,62,55,6.72,6.76,4.18,6313
16728,0.7,Ideal,I,SI1,61.9,58,5.67,5.7,3.52,2054
15513,0.91,Premium,H,SI1,62.2,60,6.22,6.16,3.85,3669
1429,0.31,Premium,E,VS1,61,60,4.37,4.35,2.66,816
1412,0.91,Very Good,I,VS2,59.9,58,6.35,6.27,3.78,4008
9141,0.9,Ideal,D,VS1,61.9,59,6.14,6.17,3.81,7393
11569,0.53,Good,E,SI2,63.4,56,5.16,5.18,3.28,1141
10721,0.44,Ideal,E,SI1,62.6,56,4.84,4.9,3.05,810
13622,0.77,Ideal,D,SI1,61.4,56,5.9,5.93,3.63,2996
8063,0.76,Very Good,G,VS2,61.1,57,5.84,5.95,3.6,3170
12840,0.33,Premium,G,VS1,62.8,58,4.41,4.38,2.76,854
9043,0.9,Very Good,I,VS2,63.2,54,6.1,6.08,3.85,3382
1072,1.23,Ideal,I,SI2,62.1,56,6.84,6.88,4.26,5175
16436,0.54,Premium,E,SI1,62.2,61,5.24,5.15,3.23,1375
23832,1.08,Ideal,H,SI2,61.2,57.4,6.57,6.63,4.04,4564
24762,2.3,Ideal,I,SI2,61.8,57,8.48,8.45,5.23,16329
927,0.6,Ideal,H,VS1,61.6,56,5.4,5.42,3.33,1820
22751,0.5,Ideal,D,VS1,63,57,5.06,5,3.17,1571
25964,1.01,Premium,I,SI1,62.3,58,6.44,6.4,4,4355
456,0.61,Ideal,E,VS2,61.3,55,5.48,5.45,3.35,2373
20025,1.06,Premium,E,SI2,60.5,60,6.67,6.61,4.02,4737
5078,1.24,Premium,F,SI2,61.4,58,6.94,6.9,4.25,5889
12890,1.01,Very Good,E,SI2,63.5,55,6.32,6.38,4.03,4363
24157,1.01,Fair,E,VS2,66.6,55,6.27,6.2,4.15,4525
672,1,Very Good,F,VS2,62.9,55,6.34,6.38,4,6352
20265,1.22,Premium,F,VS2,63,60,6.85,6.74,4.28,7154
25152,0.9,Good,E,SI2,61.9,62,6.14,6.18,3.81,3422
10431,0.33,Ideal,F,VS1,62.8,55,4.41,4.45,2.78,765
4039,0.73,Very Good,F,SI1,61.7,60,5.79,5.82,3.58,2771
13182,1.7,Ideal,I,VS1,62.2,55,7.63,7.67,4.76,12622
9860,0.9,Ideal,F,SI1,61.7,55,6.19,6.16,3.81,4269
23498,0.24,Very Good,D,VVS1,61.9,54,3.99,4.02,2.48,492
26114,0.5,Ideal,J,VS2,61.6,57,5.08,5.12,3.14,1099
12207,0.43,Ideal,H,SI1,61.9,55,4.84,4.88,3.01,783
6454,2.04,Premium,H,SI2,60.8,58,8.23,8.14,4.98,14945
22737,1.4,Ideal,G,VVS1,60.8,57,7.21,7.23,4.39,15134
18671,0.51,Ideal,G,VS1,61.7,55,5.14,5.17,3.18,1656
12090,0.4,Premium,G,SI1,61.4,60,4.67,4.71,2.88,702
25236,0.27,Ideal,G,VS2,61.6,54,4.17,4.2,2.58,490
2742,0.31,Ideal,H,VVS2,62.3,54,4.36,4.38,2.72,630
18062,0.42,Ideal,E,SI1,62.6,57,4.84,4.81,3.02,992
23956,2.02,Premium,G,SI2,63,59,8.05,7.95,5.03,15014
13102,1.66,Ideal,F,SI2,62.6,59,7.53,7.57,4.73,10338
24191,0.3,Ideal,G,VS2,61.3,56,4.28,4.3,2.63,526
25543,0.52,Very Good,H,SI1,62.6,59,5.06,5.13,3.19,1161
3509,1.2,Ideal,I,SI1,62.6,58,6.74,6.71,4.21,5376
15637,0.64,Ideal,G,IF,61.7,58,5.52,5.56,3.42,2960
8787,0.41,Good,J,VS1,63.7,56,4.71,4.68,2.99,830
18280,0.33,Ideal,E,VS2,61.1,56,4.45,4.48,2.73,723
9566,0.44,Premium,F,VS2,62.2,58,4.83,4.88,3.02,926
24665,0.3,Ideal,G,VS1,61.9,56,4.29,4.34,2.67,605
17270,0.39,Premium,G,VS2,59.8,61,4.75,4.72,2.83,942
17435,0.72,Very Good,D,VS1,64.1,57,5.68,5.71,3.65,3375
3725,1.51,Premium,G,VS1,62.2,58,7.29,7.35,4.55,14542
25688,0.43,Ideal,E,SI1,62.6,56,4.79,4.82,3.01,760
14492,0.9,Very Good,H,VS1,61.7,58,6.18,6.26,3.84,4466
13640,1.52,Premium,I,VS2,59,59,7.53,7.46,4.42,9057
21997,1.16,Ideal,J,IF,60.6,56,6.79,6.86,4.14,5519
15319,1.5,Very Good,D,VS2,63,59,7.24,7.3,4.58,13372
5977,0.31,Ideal,I,VVS2,61.6,57,4.35,4.39,2.69,544
4086,1.01,Good,F,SI2,61.5,61,6.33,6.38,3.91,3895
22466,1.2,Ideal,E,VVS1,60.1,61,6.83,6.91,4.13,15185
18505,1.32,Very Good,I,SI2,61.2,58,7.12,7.06,4.34,6300
19267,0.41,Premium,G,VS1,60,61,4.86,4.77,2.89,961
17653,0.41,Ideal,F,IF,62.3,55,4.78,4.82,2.99,1439
8485,2.01,Good,G,SI2,63.6,59,7.95,8,5.07,15832
3696,0.57,Ideal,E,VS1,61.4,57,5.32,5.37,3.28,1965
263,1.09,Ideal,F,VVS2,62.5,55,6.6,6.52,4.1,9845
23112,0.41,Ideal,F,VVS2,62.6,55,4.76,4.73,2.97,1192
10654,0.31,Premium,H,SI1,61.1,57,4.35,4.32,2.65,573
5006,0.73,Ideal,H,VS2,62.5,58,5.71,5.75,3.58,2752
15417,0.39,Ideal,H,VVS2,61.4,56.1,4.7,4.73,2.89,853
2779,0.86,Premium,H,SI2,,58,6.15,6.12,3.74,2757
9997,2.15,Premium,G,SI2,58.9,58,8.46,8.41,4.97,15751
10886,1.07,Premium,F,SI1,61.7,58,6.54,6.61,4.06,5042
16112,0.34,Premium,I,VVS2,61.5,60,4.49,4.45,2.75,765
13233,0.73,Ideal,F,SI2,62.1,56,5.77,5.8,3.59,2276
20346,2.03,Very Good,E,SI2,,58,7.91,7.94,5.05,16412
21261,0.4,Ideal,G,IF,62.2,55,4.73,4.76,2.95,1333
24212,0.81,Very Good,E,SI1,60.3,60,6.07,6.1,3.67,2797
24468,0.92,Very Good,E,SI1,63,57,6.17,6.21,3.9,4254
6673,0.91,Ideal,I,SI2,63,54,6.17,6.12,3.86,2976
9359,0.73,Ideal,D,VS1,61.1,57,5.85,5.81,3.56,3509
17339,1.18,Very Good,E,I1,63.3,57,6.7,6.64,4.22,3965
17081,0.35,Premium,D,SI2,62.3,58,4.48,4.54,2.81,522
21332,0.31,Ideal,F,VS1,61,56,4.38,4.4,2.68,642
5151,0.73,Premium,F,VS2,62.3,60,5.77,5.73,3.58,2683
15794,0.3,Very Good,H,SI1,59.5,62,4.32,4.35,2.58,421
23733,1.21,Ideal,H,SI1,61.1,57,6.91,6.83,4.2,6180
7658,0.7,Premium,F,VS2,61.7,58,5.69,5.63,3.49,2838
5830,0.31,Premium,F,IF,61.9,58,4.39,4.36,2.71,977
1837,1.01,Premium,E,VS2,62,59,6.46,6.44,4,6787
1175,0.36,Ideal,G,VVS2,62.3,56,4.56,4.53,2.83,1053
14811,0.4,Ideal,E,SI1,60.6,56,4.77,4.78,2.9,772
9452,0.9,Very Good,D,SI2,62.9,59,6.06,6.15,3.84,3706
18198,0.5,Premium,I,SI2,59.8,56,5.23,5.18,3.11,900
20064,1.54,Very Good,H,VS2,62.1,62,7.31,7.38,4.56,11527
2450,0.28,Very Good,H,VVS1,58.5,61,4.27,4.31,2.51,480
23673,0.9,Very Good,E,SI2,63.1,54,6.2,6.17,3.9,3084
18296,0.23,Ideal,F,VVS2,62,56,3.92,3.98,2.45,530
15276,0.74,Ideal,F,IF,61.9,55,5.79,5.84,3.6,4383
142,0.41,Ideal,D,VVS2,62.3,57,4.76,4.74,2.96,1356
2679,0.44,Very Good,G,VVS2,60.9,57,4.89,4.93,2.99,1081
17493,0.83,Ideal,F,SI2,62.3,55,6.02,6.05,3.76,2790
24486,0.3,Premium,D,IF,62.1,59,4.27,4.29,2.66,1130
25140,1,Fair,F,VS1,65.3,59,6.25,6.21,4.07,6397
